fila,identificador,nombre,current_attack,explicit_attack,keyword_hints,proposed_attack,missing_attack,excluded_raw,excluded_effective_detect,excluded_not_effective,proposed_d3fend_detect,d3_count
2,﻿[AUT][Public IP]CU046_Possible_external_brute_force,[AUT][Public IP]CU046_Possible_external_brute_force,T1110; T1110.001,,T1078; T1110; T1190,T1078; T1110; T1110.001; T1190,,D3-AEM; D3-APM; D3-CCSA,D3-AEM; D3-APM; D3-CCSA,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,13
3,﻿[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP,[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP,T1190,,T1190; T1204,T1190; T1204,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,11
4,﻿[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP,[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP,T1190,,T1190; T1595.002,T1190; T1595.002,,D3-APCA; D3-CSPP; D3-DQSA; D3-NTCD; D3-PA; D3-PHDURA; D3-RTSD; D3-UBA; D3-UGLPA,D3-APCA; D3-CSPP; D3-DQSA; D3-NTCD; D3-PA; D3-PHDURA; D3-RTSD; D3-UBA; D3-UGLPA,,D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,3
5,﻿[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx,[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx,T1083; T1190; T1592; T1595; T1595.002,,T1190,T1083; T1190; T1592; T1595; T1595.002,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,16
6,﻿[AUT][Public IP]CU105_Waf_Try_path_exec_Alert,[AUT][Public IP]CU105_Waf_Try_path_exec_Alert,T1059; T1190,,T1190,T1059; T1190,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,18
7,﻿[AUT][Public IP]CU115_Multiples_Detections_IPS_Checkpoint,[AUT][Public IP]CU115_Multiples_Detections_IPS_Checkpoint,T1046; T1190; T1499; T1590; T1592; T1595,,T1190,T1046; T1190; T1499; T1590; T1592; T1595,,D3-UBA,D3-UBA,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UGLPA - User Geolocation Logon Pattern Analysis,10
8,﻿[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs,[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs,T1059.004; T1190,,T1190,T1059.004; T1190,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,11
9,﻿[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC,[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC,T1133; T1190; T1583; T1587.001; T1588; T1588.002; T1595,T1595,T1190; T1595; T1595.002,T1133; T1190; T1583; T1587.001; T1588; T1588.002; T1595; T1595.002,,,,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,11
10,﻿[AUT][Public IP]CU131_Abnormal_UserAgent_Detection,[AUT][Public IP]CU131_Abnormal_UserAgent_Detection,T1071.001; T1190,T1071.001; T1583.006; T1595.001,T1021.001; T1190; T1595,T1021.001; T1071.001; T1190; T1583.006; T1595; T1595.001,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,20
11,﻿[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC,[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC,T1071,T1046; T1190; T1595,T1190; T1595; T1595.002,T1046; T1071; T1190; T1595; T1595.002,,,,,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,20
